,content,uuid
107,Sales Fundamentals,86149cb809c04ee092031aede3abc60e
110,32 Ways to Make Extra Money,a358cd111d5d41f6af7dbb0a4dfc6a3d
111,CISSP Cert Prep: 1 Security and Risk Management,4b404d88f7ec40a7a8d0c3515a689169
112,Continuous Integration: Tools,cae9334083754b83adbdd949677efc34
113,Python Code Challenges ,66b56878c4cb4c66a37de2d7482f9a3d
114,Programming Foundations: Object-Oriented Design,6a43d8f57fea43048020a821a153e549
115,C++ Essential Training,58b598535b37426bb31f993fe8639763
116,Leadership: Practical Skills,b2f820d3a11c41a39fb7d8ee816c3185
118,Writing a Tech Resume,d2de4f85a2ae486daac61596c2d09766
121,Typescript for C# Programmers,0d9c584054d2476e83535ef325d77dac
122,Practical Engineering,92120c50a85b46669ed09fe4875d6a22
123,Kubernetes: Microservices,fd8422edf08c40b1b97dabd228bf0e99
124,Learning Jira Software,d0c29f7f7d25476aab9f0d07ab0d57c3
125,UX Design: 7 Implementation Planning,57cb028453a547d48662cfcf6def0e2d
126,Docker Essential Training: 2 Orchestration,5e929d02358d4e78bf6930015ee317d9
127,Data Science Foundations: Fundamentals,dfa3fa9c1a764f87951a5afb04d051ee
128,Learning Microsoft PowerApps,b6a3ae14dfd8403eabb9863f29a1afae
129,Using Python with Excel,4ea46bc199f843a1ab0f0b639c3f5680
133,Docker for Developers,aa9f857f43ae43e2a9d9a2134d2c1959
137,SEO: Keyword Strategy,f29c1594817f464bb14cd4d7c2e70919
138,Docker on Azure,ce6ab7c44b5e48e19d4fd1104d0ae72d
139,Using Python for Automation,cc856fdd011a4518b865eeef92e32531
140,Spring: Framework In Depth (2017),1951c2f0ecd84f6cb692cc5169bd29f6
141,Learning Cloud Computing: Core Concepts,c18ba98efc424df3a4aa063d593eee71
144,Cybersecurity Foundations (2015),d2b721c322dd4411854e865986ef1c9d
145,Subtle Shifts in Thinking for Tremendous Resilience,2a3cc82d94234631956408416e28ce7b
147,Instructional Design: Adult Learners,0b6a98817be84652be19c55b80c262e3
148,PowerPoint 2010: Audio and Video,026f4bdcc2164d5991cc54a523939d63
149,Learning Data Science: Tell Stories With Data,3ea1fa8595c741ebb0e30bdd733ee0c1
150,Own Your Voice: Improve Presentations and Executive Presence,f8defd7e6057474ba7f86e2c20b5ebd4
151,Video and Audio for Designers with Creative Cloud: Part 2,c797144c38a44a1a9bc1d8659d6688bd
152,Learning Snagit for Mac,2331a73553884e5cb3194a463112fb31
153,Creating Screen Capture Training,2aa0afdb0bee4a3998d30b4c6bf2484d
154,Being Confident on Camera,f9f69ff3719c4939bccd87109c417689
155,Voice-Over for Video and Animation,6f38bb8b6e164967a7d35cd63a4963af
156,Audition CC Essential Training,7e30f68dd12143f3adf23e9cd28eb0fd
157,Music Production Secrets: Larry Crane on Recording,6a0c6b98606d489cbc546313de19dd6c
158,Video Gear: Audio,200a812caa4441d3bb701798250518ae
159,Leading with Emotional Intelligence,a97742e60742464f99494afb44d24fab
160,Learning DSLR Filmmaking,354d48836d744cda91f92374db1b876c
161,Creating an Advanced Responsive Presentation in HTML5,fc83f62c002a4b1faae90f136e57c836
162,RxSwift: Design Patterns for iOS Developers,d3a7e76be7f346acb4c9962da8434132
163,React for Web Designers,a9f49d761fef48d4b9b75ee007b0737f
164,Learning React.js (2018),719e12b1f08a4f089f5febe63adeca64
165,Moving Your iOS App to Android Using Kotlin,52225006c5fa4f9e96813c7adaa8f58f
166,React.js: Building an Interface,58f678c6d0514e56b45f645fca538a15
167,Learning React Native,04c807ef5a774593b1903899a65fda8f
168,React Native Essential Training,c45f49f4d6ad41c88d7d7923ddc954f5
169,JavaScript: Closures,ffdbcd4fc3914726b7e653c265f62ca2
170,Cloud Architecture: Advanced Concepts (2017),c12c95a1d2d24d14adfbf3aba5e1a9c0
171,Python Parallel Programming Solutions,f81c5a5370924728a5f77d0fb24d51cc
172,Learning VMware vSphere 6.5,f1d1775c05e14e2a94c291d5a69a7771
173,Google Cloud Platform Essential Training,f1f076b5fbbb4d5f87c3841e74f75c26
174,Learning Cloud Computing: Networking,739c3cfa08e3484c852fccc5eca6f247
175,Cisco ICND2 Cert Prep: Routing,a678e33846b94f05b2cdf87c1d4e0cbe
176,C++ Templates and the STL,0bd5f4e9d7144eac9cca5f0667e8a5eb
177,Nail Your Java Interview,d711c15d3d90418eadfe378433868891
178,Finance Foundations: Income Taxes,a57093c4ec5f4a5794c56d785811995c
179,Data Science Tools of the Trade: First Steps,814a35cf387f48c8b2a48f6cd6f75b64
180,Programming Foundations: Object-Oriented Design (2012),925154466ba34aad8567a5eb0ebcb005
181,Programming Foundations: Algorithms,0add5908c069428eaf4a62a58e73f399
182,Cloud Architecture: Advanced Concepts,8774e7c17fb5486fb479be03d031b71a
183,Programming Foundations: Discrete Mathematics,83276d1fa0a64b4dabc3edcfadf82a46
184,Creating Great First Impressions,4fc12263ec3f466fa25996adda1fd943
185,Learning Design Thinking: Lead Change in Your Organization,83b98379d19042f5ba753d221f32b922
186,CCNP Routing (300-101) Cert Prep: Layer 2 and Layer 3 Technologies,6c9820b5cd664935a31df2e06afcbe5e
187,CCNP Switching (300-115) Cert Prep: 1 Layer 2 Technologies,be40e9af918942aa93c397fd2387d587
188,Learning Cisco CLI Router Configuration,462211d56d8e43eb8ae9cf4219bd0451
189,Learning Cisco CLI Switch Configuration,0772bc3e80514c9b9167ae430229bb58
190,Networking Foundations: IP Addressing,ea5da43e35774a15ba011403a7c0ae3e
191,CCNP Troubleshooting (300-135) Cert Prep,8eca806c7b7a46938ffc173789f39fce
192,CCNP Routing (300-101) Cert Prep: 2 Internet Connectivity,1b96ee19fe0c481fb39c6e3b0d6cea13
193,Overcoming Your Fear of Public Speaking,bd8224cd54534c228898870405cc0576
194,Succeeding in a New Role By Managing Up,cb0be36cf99444829b7516f629780f4e
195,Cert Prep: Project Management Professional (PMP)®,e2df2b0509ce41268cbaef233442477e
196,Mindfulness Practices,9d0b595cfee142b8b217583fe3a2e099
197,Rock Your LinkedIn Profile,8e51a6537efb4e98b8584f3a65507384
198,How to Manage Feeling Overwhelmed,d59b5d8f516f446b8cece49b4cded139
199,Rules for Rising Leaders,248bf4b53cb047888010ca21cca62ca3
200,Building a Better To-Do List,3507274a788b49d29a81ab3b17cf1ee6
201,Making Better Decisions by Thinking in Bets,07a65d7c30d0435ab38b95d501e84178
202,Design Thinking: Implementing the Process,3047d5b9f1f94810be37c0f4c394fac4
203,Cisco Network Security: Core Security Concepts,8fe6c73a461948c0828a5b274c880288
205,Building Your First iOS 13 App,ae57fc35c1154bc48171472fce677b7b
206,Introduction to Data Structures & Algorithms in Java,aadb045aaa41420da6460bf1746aad96
207,Advanced Node.js: Scaling Applications,68a43071ae224c55b1bd1b578cf3ea8f
208,C Standard Library,7f1ae40661f84c0db746a6a92c098b41
209,Agile Software Development: Remote Teams,a4edf9d707524dbcaedb820736315b6d
211,Python GUI Development with Tkinter,5c361dbc28b34bdd824769bd723e5053
212,Microsoft SQL Server 2019 Essential Training,bad68b9a248142a98e0ce9da1ac97db8
213,Learning the Python 3 Standard Library,4131b826bf314205bfd1909a7d3430e3
214,Bracketology Club: Using March Madness to Learn Data Science,966d6da4c67144fca27dfeb47fe730f8
215,Learning Salesforce,9db18f8095db41cdb35e9f2dc16570f9
216,Creating a Culture of Collaboration,c4b1ec026c4743c5ab4e4b23f9065834
218,Learning Python Generators,64c459bb6c424b28a0f9ee0b61f6e77e
220,Power BI Essential Training (2019),b4bfba192b7e4ca8a16a511cf331af96
221,Tableau Essential Training,7c7098af3d20482ebadbc7b0ed78e94c
222,Excel VBA: Managing Files and Data,12fecb498e7d480aaa2a73c01f3a0bfb
224,WordPress 5 Essential Training,51d7993bbb554a029c779f1f95f97322
227,Unconscious Bias,ac7871ece6264823b3b6ff2bfd70a8ae
228,Python for Students,046638cd6972495c806eea67163f81fb
229,Visual Studio Code for Web Developers,0402fcd9522a489b881f35fe0894aa2d
230,CompTIA Security+ (SY0-501) Cert Prep: 6 Cryptography,1fed73825e7345a9943ce9cc5d028f87
231,CompTIA Security+ (SY0-501) Cert Prep: 2 Technologies and Tools,f5b22dbc43d2449ba2f0f1aa6c2ed8d5
232,CompTIA Security+ (SY0-501) Cert Prep: 3 Architecture and Design,8a142e2309e443e0bff0eb45acd0b120
233,CompTIA Security+ (SY0-501) Cert Prep: 4 Identity and Access Management,b88eb171fb744233a8a4624758de72f2
234,Insights from a Cybersecurity Professional,23070b7233bf4d00891339ac4cdb986c
235,Creating a High Performance Culture,6ec3a6f93d844c10b95e78a127adfb56
236,Planning a Multicloud Solution,4a5c0b367705401ea558fc3b4b730433
237,PowerPoint Essential Training (Office 365),779690cbf02249a9931f4596e91994ef
238,PowerPoint: Designing Better Slides,c2045d9af64249a0afc43b0ce7e273d5
239,Designing a Presentation,765660173f6d4865bbdc7f7a987d3fe7
240,Illustrator 2020 Essential Training,cf05e6f4d3a94ee5bc6d75016d76a7cb
241,InDesign 2020 Essential Training,48e8409d92ba4f7882c32645c02566ca
242,Giving and Receiving Feedback,88b67e9415504764ad69a3356620ffe0
243,Body Language for Leaders,657ddd6b0f544f57a9de36d4ccfab075
244,Managing in Difficult Times,a1df6e86d9754f06be4713eb746a2136
245,Docker: Continuous Delivery,4eaef2f026584080bfdc3108d614aa54
246,Strategic Planning Foundations,f2cd377515c04f7991a6c24be123f3a7
247,Learning Program Management,51d8ea602eaa4767a09953bd0f5f764e
249,Creating Your IT Strategy,bd304acef38b403ab5ce4a06caa5c799
251,Business Development: Strategic Planning,5a90de6c807d465ba45b93c24480cf4f
253,Leading without Formal Authority,f972ca33e6754dc1a39944bb65b7a046
254,Working with Difficult People,23f9f1710c3d4feeb997130c5c51b4b3
255,Pricing Strategy Explained,0393db358883417f8bc114dd4d355354
256,"Revenue, Staffing, and Expense Models Explained",2b68709327224c22b4f752e5d14275b4
259,Leadership Foundations,5fbac3979d824057b7fbcc02521178de
260,Cisco ICND2 Cert Prep: WAN Technologies,8cd3df0a0ffb4e529af2813ab252d2eb
262,Networking Foundations: Networking Basics,090e580f9a08446bac56a197e0f286c2
263,Revit 2020: Essential Training for Architecture (Imperial),ef86ac1c3736483e9a9048e73dd913ee
