,content,uuid
140,NPI: Cisco Meeting Application (CMA) 1.11 & webRTC client - CVTG,2d3fe958f06340c5bf2d7f92dea8c951
141,NPI: Cisco Meeting Management - CMM - 1.1 - (Banshee) - CVTG,276cbdb84173482ebcf02b464c22aaf9
142,NPI: Cisco Meeting Server - CMS - 2.4 - (Manic Miner) - CVTG,1b8347de73c443ce8bf51a730bc2f9e8
143,NPI: Cisco Spark Room 70D & Cisco Spark Room 70S - (Isfjord) - CETG,e7551fee36564e7c894556b05092ccc3
144,NPI: Cisco TelePresence Expressway Series CE1200 (New Appliance) - (The Pheasant) - CVTG,fab20dc2dbaf458ab0a863888ca510e9
147,Day in the Life Series - Cisco Capital Operations,628370dcc53e42c4bd02fea6b60b63e9
148,R12 Invoicing Overview,a98602c0304f42e0ae22c2b7baf89b42
149,CoDE Application Integration Services: SPLUNK,573a50b827db4b90bb151676fa410906
151,ENG: Internet of Things in 5G Course,f7444bb4542f406ea49e8ff5e764f606
162,ENG: Pluralsight - Subscription Access,24c70df41220480e8fe38aba3d419d38
165,Compliance: TL 9000 General Awareness Training v1,e9e7de09d62440c7b143df63d79a961e
168,DESGN - Designing for Cisco Internetwork Solutions v3.0,c117376c90104e6c81232ab74181b892
169,NPDESI - Designing and Implementing Cisco Network Programmability v1.0,0752f97d45b84308b0737a48ef638c7d
170,NPI: NCS2K release 10.8 - Tyrell,113fd0b069c14053974f262f9bc05a00
171,Optical Fundamentals Deep Dive,d34cc926792c40268b8e4ca039b3b9ad
172,Optical Specialization (Specialist),889d230bb1bb4833922d82a60b33a1bf
174,XR Training Portal,db337d45e0d54756a4938962e2550175
175,Introduction to Cisco's Monetization Framework,c98111208ddb4d67b374dbce6f99c36e
177,NPI: AireOS 8.8 - Xurus - WNBU,55005d3984d045989458dea901d13a5b
178,DNA in Routing / SD-WAN / Viptela,98c3841edc25481ebc3fb2be7a2a516e
181,Ease of Selling 2.0 Engagement Model & Webex Teams Training,8f8da164834e486bac032f3d238048a1
182,Ease of Selling 2.0 Tools Training,e6c93b0a3ac4492dbe04fe0b62a18535
186,Compliance: Data Incident Reporting,d4f1389c4ca74099b5956fe28ea72084
190,"TheU: PC Font+Template ""how to""",4c167acc631e4e109fe8e8de72db7373
192,NPI: Star Project - C900 Routers,548770136baf43f8b7feb641f7bec92f
193,ENG: TensorFlow Deep Learning,ec5da320a487444886855a4334d56c5d
194,ENG: CPDM Training - Cisco Product Development Methodology  (Refreshed 2018),ca94aeeaa3044153b28a72cf89aa5b80
